año;mes;dia_semana;hora;intensidad_media;intensidad_total;ocupacion_media;velocidad_media;registros
2023;1;3;16;2714,415;542883;8,56;29,46625;200
2023;1;3;17;2941,99;588398;9,86625;28,95375;200
2023;1;3;18;3009,93;601986;10,85125;28,71375;200
2023;1;3;19;3013,32;602664;10,80625;27,97125;200
2023;1;3;20;2726,285;545257;8,99625;28,15375;200
2023;1;3;21;2281,685;456337;6,6466666666666665;29,22125;200
2023;1;3;22;1570,06;314012;4,4991666666666665;29,73;200
2023;1;3;23;1206,23;241246;3,59375;28,11625;200
2023;1;4;0;1003,68;200736;3,0566666666666666;25,6575;200
2023;1;4;1;595,605;119121;2,0095833333333335;22,30625;200
2023;1;4;2;350,18;70036;1,4128595600676819;18,29125;200
2023;1;4;3;259,82;51964;1,2331649831649831;15,07875;200
2023;1;4;4;232,395;46479;0,9475465313028765;13,86625;200
2023;1;4;5;292,16;58432;0,9522613065326633;16,6775;200
2023;1;4;6;700,42;140084;1,9426298157453936;24,68625;200
2023;1;4;7;1635,285;327057;4,743333333333333;27,82625;200
2023;1;4;8;2291,27;458254;7,4775;27,9175;200
2023;1;4;9;2235,015;447003;7,72625;28,47625;200
2023;1;4;10;1997,895;399579;6,4025;28,47625;200
2023;1;4;11;2146,83;429366;6,545833333333333;28,8175;200
2023;1;4;12;2355,465;471093;7,392916666666666;28,93875;200
2023;1;4;13;2608,55;521710;8,325;29,12125;200
2023;1;4;14;3096,59;619318;10,489949748743719;29,2;200
2023;1;4;15;3077,77;615554;10,97361809045226;28,9025;200
2023;1;4;16;2711,805;542361;8,755443886097153;28,995;200
2023;1;4;17;2879,465;575893;9,22110552763819;28,73625;200
2023;1;4;18;2833,17;566634;9,53894472361809;28,55625;200
2023;1;4;19;2734,5;546900;9,228643216080402;28,255;200
2023;1;4;20;2653,79;530758;8,683417085427136;28,4275;200
2023;1;4;21;2437,145;487429;7,317839195979899;28,725;200
2023;1;4;22;1854,78;370956;5,406197654941373;29,3275;200
2023;1;4;23;1457,355;291471;4,368090452261306;29,02875;200
2023;1;5;0;1351,535;270307;3,94891122278057;28,325;200
2023;1;5;1;1172,69;234538;3,5598827470686767;27,625;200
