id;registros_archivo_referencia
11056;2976
11020;2976
11015;2976
1038;2976
1037;2976
1036;2976
1035;2976
1034;2976
1033;2976
1032;2976
1031;2976
1030;2976
1029;2976
1028;2976
1027;2976
1026;2976
1025;2976
1024;2976
1023;2976
3435;2976
3434;2976
3411;2976
1052;2976
1050;2976
1049;2976
1048;2976
1047;2976
1046;2976
1045;2976
1044;2976
1043;2976
1042;2976
1041;2976
1040;2976
1039;2976
3523;2976
3522;2976
3516;2976
3511;2976
3505;2976
3476;2976
3461;2976
3436;2976
10980;2976
10928;2976
10885;2976
10846;2976
10840;2976
10839;2976
10834;2976
