variable;importancia
intensidad_lag_1h;0.8609354800670967
intensidad_lag_24h;0.08649480728550021
hora;0.017456828866064353
media_movil_3h;0.011137415024769358
media_movil_24h;0.006494988404686163
dia_semana;0.00528800367333899
es_fin_semana;0.0030585425866304383
velocidad_media_lag_1h;0.0030254613229200693
ocupacion_media_lag_1h;0.0020299253723932162
id;0.001947515124431128
carga_media_lag_1h;0.0007996400421148752
mes;0.0006885564742231276
dia;0.000642835755831206
registros_15min_lag_1h;0.0
