modelo;conjunto;MAE;RMSE;R2;n
Persistencia;validacion;75.6200943280887;142.0478183773779;0.9023922799268459;106331
Baseline lag 24h;validacion;95.14578062841504;200.11859726458883;0.8062730984057771;106331
Random Forest Regressor;validacion;50.860059114603246;92.56371996184178;0.9585526630212481;106331
