variable;importancia
intensidad_lag_1h;0.8467674800725485
intensidad_lag_24h;0.07398946818979033
ocupacion_media;0.036419241630729425
hora;0.00839581158684533
velocidad_media;0.007673940408438049
media_movil_3h;0.007382988285728502
id;0.006790279889908941
media_movil_24h;0.004569778660542698
carga_media;0.004394544647452732
dia_semana;0.001736131336725865
es_fin_semana;0.0007752854055815543
registros_15min;0.0006418250300486085
mes;0.00023860369405745882
dia;0.00022462116160191684
año;0.0
