id;tipo_elem;distrito;nombre;longitud;latitud
10821;URB;15.0;Alcalá - Angel Gonzalez Tejedor - Jose Villena;-3.6564383578301696;40.43191405753266
10820;URB;15.0;Alcalá - Angel Gonzalez Tejedor - Jose Villena;-3.6564504187381153;40.431953259199915
10822;URB;15.0;Alcalá - Alcalde López Casero - Ventas;-3.6560212310451834;40.432067810450555
10823;URB;15.0;Alcalá - Alcalde López Casero - Ventas;-3.656009248419001;40.432036640825615
11037;URB;15.0;Alcalá - Misterios - Luva;-3.6387785556415237;40.43767239860713
11059;URB;15.0;Federico Gutiérrez - Alcalá-Germán Pérez Carrasco;-3.645060793770811;40.43483652291177
11172;URB;15.0;Alcalá - Lago Constanza-La Argentina;-3.648254166452653;40.43316225203976
11173;URB;15.0;Alcalá - Lago Constanza-La Argentina;-3.6482326094410538;40.43313268889469
11174;URB;15.0;Alcalá 402 - Vicente Espinel-Vazquez de Mella;-3.639935052758177;40.43700221731251
11176;URB;15.0;Alcalá 408 - Arcones Gil-Alfonso Paso;-3.6391264214209524;40.437399609030194
11178;URB;15.0;Alcalá 374 - Río Ulla-Campuzano;-3.6425803400057473;40.43576576146474
11180;URB;15.0;Alcalá 361 - Federico Gutiérrez-Emilio Gastesi Fdez;-3.645246897391409;40.434542030091905
11179;URB;15.0;Alcalá 361 - Federico Gutiérrez-Emilio Gastesi Fdez;-3.6452272621820785;40.43451840989564
11182;URB;15.0;Alcalá 328 - Ezequiel Solana-Los Urquiza;-3.646948047963171;40.43362610413059
11181;URB;15.0;Alcalá 328 - Ezequiel Solana-Los Urquiza;-3.64696252695858;40.43365173037546
3528;URB;20.0;Tumaco - Tumaco-Tampico;-3.6354084099676163;40.445068584966215
5946;URB;15.0;Concejal Julio Gómez - Concejal Julio Gómezz-Alcalá;-3.650399114349246;40.43300583761307
10003;URB;15.0;Alcalá - Urquiza-Virgen del Sagrario;-3.646357253475532;40.433991601004344
10004;URB;15.0;Alcalá - Urquiza-Gutierre de Cetina;-3.646213235701803;40.43400063173261
10007;URB;20.0;Alcalá - Alfonso Gómez-Tampico;-3.631485076688452;40.439705657915724
