modelo;conjunto;MAE;RMSE;R2;n
Persistencia;prueba;88,13933332974068;150,49217793931302;0,8764044771945759;371128
Baseline lag 24h;prueba;105,80595845638165;205,94778037017352;0,7685329826568296;371128
Random Forest Regressor;prueba;52,47684274906337;89,2931042419319;0,9564878315866968;371128
