id;nombre;distrito;latitud;longitud;intensidad_media;intensidad_total;ocupacion_media;velocidad_media;registros
1023;14RN01PM01;11,0;40,394388605262016;-3,705875925906873;573,7779360753221;9263071,0;12,859691972619789;36,52632556987116;16144
1024;14RL30PM01;12,0;40,394168184003306;-3,7045455704993775;126,4900513478819;2069250,75;1,200086722930812;34,542438413105934;16359
1025;14RA15PM01;2,0;40,39503533749025;-3,702334009623717;138,60008252338162;2267358,75;1,4134115777247998;45,01412066752246;16359
1026;14RM32PM01;2,0;40,39499061388556;-3,702449257046152;236,52240356990035;3869270,0;2,7864213405175935;44,62259306803595;16359
1027;14VE04PM01;2,0;40,39502684994618;-3,703368035460441;557,045709469813;9088200,75;10,646639084686893;36,42506895494943;16315
1028;14RC10PM01;2,0;40,39652119858305;-3,705418067561876;500,59737759031725;8189272,5;7,746047028139454;32,70436762638303;16359
1029;14RH25PM01;2,0;40,3963078484598;-3,706964803943296;348,6481447521242;5703535,0;4,839966173533847;40,564673879821505;16359
1030;14RE35PM01;11,0;40,39546419450289;-3,7062574184935593;379,9056361299798;6208038,0;5,6747394080329645;41,1833119148155;16341
1031;15RR60PM01;2,0;40,40014961888843;-3,712242417678693;1131,5635190633811;18460327,25;21,043296745973347;30,163019492460464;16314
1032;15RC05PM01;2,0;40,397998589198856;-3,710492421046952;259,4000704916023;4231852,75;2,532522736259391;44,13053205835479;16314
