año;mes;dia_semana;hora;intensidad_media;intensidad_total;ocupacion_media;velocidad_media;registros
2023;1;3;12;621,96875;124393,75;7,9625;28,74625;200
2023;1;3;13;654,84875;130969,75;8,395833333333334;29,12;200
2023;1;3;14;774,72125;154944,25;9,925;29,29375;200
2023;1;3;15;763,525;152705,0;9,5475;29,225;200
2023;1;3;16;678,60375;135720,75;8,56;29,46625;200
2023;1;3;17;735,4975;147099,5;9,86625;28,95375;200
2023;1;3;18;752,4825;150496,5;10,85125;28,71375;200
2023;1;3;19;753,33;150666,0;10,80625;27,97125;200
2023;1;3;20;681,57125;136314,25;8,99625;28,15375;200
2023;1;3;21;570,42125;114084,25;6,6466666666666665;29,22125;200
2023;1;3;22;392,515;78503,0;4,4991666666666665;29,73;200
2023;1;3;23;301,5575;60311,5;3,59375;28,11625;200
2023;1;4;0;250,92;50184,0;3,0566666666666666;25,6575;200
2023;1;4;1;148,90125;29780,25;2,0095833333333335;22,30625;200
2023;1;4;2;87,545;17509,0;1,4128595600676819;18,29125;200
2023;1;4;3;64,955;12991,0;1,2331649831649831;15,07875;200
2023;1;4;4;58,09875;11619,75;0,9475465313028765;13,86625;200
2023;1;4;5;73,04;14608,0;0,9522613065326633;16,6775;200
2023;1;4;6;175,105;35021,0;1,9426298157453936;24,68625;200
2023;1;4;7;408,82125;81764,25;4,743333333333333;27,82625;200
2023;1;4;8;572,8175;114563,5;7,4775;27,9175;200
2023;1;4;9;558,75375;111750,75;7,72625;28,47625;200
2023;1;4;10;499,47375;99894,75;6,4025;28,47625;200
2023;1;4;11;536,7075;107341,5;6,545833333333333;28,8175;200
2023;1;4;12;588,86625;117773,25;7,392916666666666;28,93875;200
2023;1;4;13;652,1375;130427,5;8,325;29,12125;200
2023;1;4;14;774,1475;154829,5;10,489949748743719;29,2;200
2023;1;4;15;769,4425;153888,5;10,97361809045226;28,9025;200
2023;1;4;16;677,95125;135590,25;8,755443886097153;28,995;200
2023;1;4;17;719,86625;143973,25;9,22110552763819;28,73625;200
2023;1;4;18;708,2925;141658,5;9,53894472361809;28,55625;200
2023;1;4;19;683,625;136725,0;9,228643216080402;28,255;200
2023;1;4;20;663,4475;132689,5;8,683417085427136;28,4275;200
2023;1;4;21;609,28625;121857,25;7,317839195979899;28,725;200
2023;1;4;22;463,695;92739,0;5,406197654941373;29,3275;200
2023;1;4;23;364,33875;72867,75;4,368090452261306;29,02875;200
