variable;importancia
intensidad_lag_1h;0,8609354800670967
intensidad_lag_24h;0,0864948072855002
hora;0,0174568288660643
media_movil_3h;0,0111374150247693
media_movil_24h;0,0064949884046861
dia_semana;0,0052880036733389
es_fin_semana;0,0030585425866304
velocidad_media_lag_1h;0,00302546132292
ocupacion_media_lag_1h;0,0020299253723932
id;0,0019475151244311
carga_media_lag_1h;0,0007996400421148
mes;0,0006885564742231
dia;0,0006428357558312
registros_15min_lag_1h;0,0
